nombre,provincia_nombre,pais,lugar_osm 
Icaño,Catamarca,Argentina,"Icaño, Catamarca, Argentina"
La Dorada,Catamarca,Argentina,"La Dorada, Catamarca, Argentina"
La Guardia,Catamarca,Argentina,"La Guardia, Catamarca, Argentina"
Las Esquinas,Catamarca,Argentina,"Las Esquinas, Catamarca, Argentina"
Las Palmitas,Catamarca,Argentina,"Las Palmitas, Catamarca, Argentina"
Quirós,Catamarca,Argentina,"Quirós, Catamarca, Argentina"
Ramblones,Catamarca,Argentina,"Ramblones, Catamarca, Argentina"
Recreo,Catamarca,Argentina,"Recreo, Catamarca, Argentina"
San Antonio,Catamarca,Argentina,"San Antonio, Catamarca, Argentina"
Amadores,Catamarca,Argentina,"Amadores, Catamarca, Argentina"
La Higuera,Catamarca,Argentina,"La Higuera, Catamarca, Argentina"
La Merced,Catamarca,Argentina,"La Merced, Catamarca, Argentina"
Las Lajas,Catamarca,Argentina,"Las Lajas, Catamarca, Argentina"
La Viña,Catamarca,Argentina,"La Viña, Catamarca, Argentina"
Monte Potrero,Catamarca,Argentina,"Monte Potrero, Catamarca, Argentina"
Palo Labrado,Catamarca,Argentina,"Palo Labrado, Catamarca, Argentina"
San Antonio,Catamarca,Argentina,"San Antonio, Catamarca, Argentina"
Villa de Balcozna,Catamarca,Argentina,"Villa de Balcozna, Catamarca, Argentina"
Colana,Catamarca,Argentina,"Colana, Catamarca, Argentina"
Colpes,Catamarca,Argentina,"Colpes, Catamarca, Argentina"
El Pajonal,Catamarca,Argentina,"El Pajonal, Catamarca, Argentina"
Mutquin,Catamarca,Argentina,"Mutquin, Catamarca, Argentina"
Pomán,Catamarca,Argentina,"Pomán, Catamarca, Argentina"
Rincón,Catamarca,Argentina,"Rincón, Catamarca, Argentina"
San Miguel,Catamarca,Argentina,"San Miguel, Catamarca, Argentina"
Saujil,Catamarca,Argentina,"Saujil, Catamarca, Argentina"
Siján,Catamarca,Argentina,"Siján, Catamarca, Argentina"
Andalhualá,Catamarca,Argentina,"Andalhualá, Catamarca, Argentina"
Chañar Punco,Catamarca,Argentina,"Chañar Punco, Catamarca, Argentina"
El Cajón,Catamarca,Argentina,"El Cajón, Catamarca, Argentina"
El Desmonte,Catamarca,Argentina,"El Desmonte, Catamarca, Argentina"
El Puesto,Catamarca,Argentina,"El Puesto, Catamarca, Argentina"
Famatanca,Catamarca,Argentina,"Famatanca, Catamarca, Argentina"
Fuerte Quemado,Catamarca,Argentina,"Fuerte Quemado, Catamarca, Argentina"
La Hoyada,Catamarca,Argentina,"La Hoyada, Catamarca, Argentina"
Las Mojarras,Catamarca,Argentina,"Las Mojarras, Catamarca, Argentina"
Punta de Balasto,Catamarca,Argentina,"Punta de Balasto, Catamarca, Argentina"
San José,Catamarca,Argentina,"San José, Catamarca, Argentina"
Santa María,Catamarca,Argentina,"Santa María, Catamarca, Argentina"
Yapes,Catamarca,Argentina,"Yapes, Catamarca, Argentina"
Alijilán,Catamarca,Argentina,"Alijilán, Catamarca, Argentina"
Ampolla,Catamarca,Argentina,"Ampolla, Catamarca, Argentina"
Bañado de Ovanta,Catamarca,Argentina,"Bañado de Ovanta, Catamarca, Argentina"
Las Cañas,Catamarca,Argentina,"Las Cañas, Catamarca, Argentina"
Las Tunas,Catamarca,Argentina,"Las Tunas, Catamarca, Argentina"
Lavalle,Catamarca,Argentina,"Lavalle, Catamarca, Argentina"
Los Altos,Catamarca,Argentina,"Los Altos, Catamarca, Argentina"
Manantiales,Catamarca,Argentina,"Manantiales, Catamarca, Argentina"
Monte Redondo,Catamarca,Argentina,"Monte Redondo, Catamarca, Argentina"
San Pedro,Catamarca,Argentina,"San Pedro, Catamarca, Argentina"
Anillaco,Catamarca,Argentina,"Anillaco, Catamarca, Argentina"
Copacabana,Catamarca,Argentina,"Copacabana, Catamarca, Argentina"
El Puesto,Catamarca,Argentina,"El Puesto, Catamarca, Argentina"
El Salado,Catamarca,Argentina,"El Salado, Catamarca, Argentina"
Fiambalá,Catamarca,Argentina,"Fiambalá, Catamarca, Argentina"
Medanitos,Catamarca,Argentina,"Medanitos, Catamarca, Argentina"
Palo Blanco,Catamarca,Argentina,"Palo Blanco, Catamarca, Argentina"
Saujil,Catamarca,Argentina,"Saujil, Catamarca, Argentina"
Tinogasta,Catamarca,Argentina,"Tinogasta, Catamarca, Argentina"
El Portezuelo,Catamarca,Argentina,"El Portezuelo, Catamarca, Argentina"
Huaycama,Catamarca,Argentina,"Huaycama, Catamarca, Argentina"
Las Esquinas,Catamarca,Argentina,"Las Esquinas, Catamarca, Argentina"
Las Tejas,Catamarca,Argentina,"Las Tejas, Catamarca, Argentina"
San Isidro,Catamarca,Argentina,"San Isidro, Catamarca, Argentina"
Santa Cruz,Catamarca,Argentina,"Santa Cruz, Catamarca, Argentina"
Carhué,Buenos Aires,Argentina,"Carhué, Buenos Aires, Argentina"
Colonia San Miguel Arcángel,Buenos Aires,Argentina,"Colonia San Miguel Arcángel, Buenos Aires, Argentina"
Delfín Huergo,Buenos Aires,Argentina,"Delfín Huergo, Buenos Aires, Argentina"
Espartillar,Buenos Aires,Argentina,"Espartillar, Buenos Aires, Argentina"
Esteban Agustín Gascón,Buenos Aires,Argentina,"Esteban Agustín Gascón, Buenos Aires, Argentina"
La Pala,Buenos Aires,Argentina,"La Pala, Buenos Aires, Argentina"
Maza,Buenos Aires,Argentina,"Maza, Buenos Aires, Argentina"
Rivera,Buenos Aires,Argentina,"Rivera, Buenos Aires, Argentina"
Villa Margarita,Buenos Aires,Argentina,"Villa Margarita, Buenos Aires, Argentina"
Adolfo Gonzales Chaves,Buenos Aires,Argentina,"Adolfo Gonzales Chaves, Buenos Aires, Argentina"
De La Garma,Buenos Aires,Argentina,"De La Garma, Buenos Aires, Argentina"
Juan E. Barra,Buenos Aires,Argentina,"Juan E. Barra, Buenos Aires, Argentina"
Vásquez,Buenos Aires,Argentina,"Vásquez, Buenos Aires, Argentina"
Alberti,Buenos Aires,Argentina,"Alberti, Buenos Aires, Argentina"
Coronel Seguí,Buenos Aires,Argentina,"Coronel Seguí, Buenos Aires, Argentina"
Mechita,Buenos Aires,Argentina,"Mechita, Buenos Aires, Argentina"
Pla,Buenos Aires,Argentina,"Pla, Buenos Aires, Argentina"
Achupallas,Buenos Aires,Argentina,"Achupallas, Buenos Aires, Argentina"
Villa María,Buenos Aires,Argentina,"Villa María, Buenos Aires, Argentina"
Villa Ortiz,Buenos Aires,Argentina,"Villa Ortiz, Buenos Aires, Argentina"
Almirante Brown,Buenos Aires,Argentina,"Almirante Brown, Buenos Aires, Argentina"
Avellaneda,Buenos Aires,Argentina,"Avellaneda, Buenos Aires, Argentina"
Ayacucho,Buenos Aires,Argentina,"Ayacucho, Buenos Aires, Argentina"
La Constancia,Buenos Aires,Argentina,"La Constancia, Buenos Aires, Argentina"
Solanet,Buenos Aires,Argentina,"Solanet, Buenos Aires, Argentina"
Udaquiola,Buenos Aires,Argentina,"Udaquiola, Buenos Aires, Argentina"
Ariel,Buenos Aires,Argentina,"Ariel, Buenos Aires, Argentina"
Azul,Buenos Aires,Argentina,"Azul, Buenos Aires, Argentina"
Cacharí,Buenos Aires,Argentina,"Cacharí, Buenos Aires, Argentina"
Chillar,Buenos Aires,Argentina,"Chillar, Buenos Aires, Argentina"
16 de Julio,Buenos Aires,Argentina,"16 de Julio, Buenos Aires, Argentina"
Bahía Blanca,Buenos Aires,Argentina,"Bahía Blanca, Buenos Aires, Argentina"
Cabildo,Buenos Aires,Argentina,"Cabildo, Buenos Aires, Argentina"
General Daniel Cerri,Buenos Aires,Argentina,"General Daniel Cerri, Buenos Aires, Argentina"
Balcarce,Buenos Aires,Argentina,"Balcarce, Buenos Aires, Argentina"
